seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
370,1,1,1,152,1,1120,0,5,5,1,2,64,8,NA,NA,NA,NA,1,M,0,11,11,0,1993,2771,2135,3217,1479,179,0,30.39999962,2,1,7,2,5,0,28,28,2,360,NA,184,2,1,0,Y,0,0,1,53.86199951,3.599999905,0,0,1,0,1,12,210.4754333,0,0
371,1,1,1,148,1,1120,1,4,8,2,4,33,0,NA,NA,NA,NA,2,U,4,20,8,0,2226,0,2766,0,1204,165,0,6.599999905,1,0,8,2,6,0,32,33,1,360,FIRST STEP,186,3,0,0,N,0,0,1,16.89999962,3.200000048,1,1,0,1,1,12,408.0157471,0,1
372,1,1,1,113,1,1120,1,5,5,1,2,44,0,NA,NA,NA,NA,1,M,3,999999.375,999999.375,0,0,2087,0,2335,958,430,0,14.69999981,1,1,8,2,1,0,26,31,1,360,FIRST STEP,126,2,0,0,N,0,0,1,40.29999924,3.599999905,0,1,0,0,1,12,354.620697,0,0
373,1,1,1,164,1,1120,1,5,8,1,4,110,8,NA,NA,NA,NA,1,U,0,0.5,0.5,1,9166.669922,0,9166.669922,0,1889.800049,204.3999939,0,434.5960083,0,1,5,2,1,0,20.90999985,38.40999985,2,360,NA,205,1,0,0,N,0,0,999999.375,661.5999756,3.599999905,0,0,0,1,1,999999.375,900.0020142,0,0
374,1,1,1,129,1,1120,1,3,8,1,4,33,0,NA,NA,NA,NA,2,U,2,8,8,0,2643.330078,0,2862.159912,0,818,143,0,14.60000038,2,1,12,2,1,0,28.60000038,33.40000153,1,360,FIRST STEP,145,2,0,0,Y,0,0,1,31.89999962,3.900000095,1,1,0,0,1,12,429.4545593,0,0
375,1,1,1,83,1,1120,1,3,8,2,4,36,0,NA,NA,NA,NA,1,U,1,7,4,0,3132,0,3132,0,766,92,4.599999905,4.300000191,1,1,0,2,1,0,26,29,1,360,FIRST STEP,93,1,0,0,N,0,0,1,22.5,3.900000095,1,1,0,1,1,12,390.5780029,0,0
382,1,1,1,162,1,1120,1,3,8,2,4,27,9,NA,NA,NA,NA,3,U,0,21,21,0,1755,0,2241,0,1479,195,0,500,1,1,5,1,1,0,16.17000008,36.77999878,2,360,MHFA,196.5,3,1,0,N,0,0,999999.375,35.16699982,3.099999905,0,1,0,1,1,12,484.6384583,0,1
383,1,1,1,158,1,1120,1,4,4,1,2,34,0,NA,NA,NA,NA,2,M,3,10,10,0,1560,1296,1560,1296,1439,166,0,11.36600018,2,1,15,2,1,0,28.05999947,30.09000015,2,360,NA,166,3,1,0,N,0,0,999999.375,20.57500076,5.300000191,0,1,0,0,1,12,656.7277222,0,1
385,1,1,1,66,1,1120,0,5,8,2,4,27,0,NA,NA,NA,NA,1,U,0,1.5,1.5,0,929.5,0,2212.830078,0,675.0800171,88.5,0,263.4349976,1,1,2,2,1,0,30.04999924,33.09000015,2,360,NA,88.5,1,1,0,N,0,0,999999.375,261.9349976,1.799999952,0,1,1,1,0,12,192.1499786,0,0
387,1,1,1,98,1,1120,1,3,8,2,4,32,0,NA,NA,NA,NA,1,U,0,3,9,0,2709,0,2709,0,888.1699829,103,0,11.47500038,1,1,9,2,1,0,32.13999939,33.68999863,2,360,MA HOUSING,105,2,1,0,N,0,0,999999.375,26.875,2,1,1,0,0,1,12,571.5667114,0,0
388,1,1,1,170,3,1120,0,4,8,1,4,27,0,NA,NA,NA,NA,3,U,0,5,5,0,2268,0,2268,0,528.8800049,178.5500031,0,22,2,0,2,2,4,0,22.43000031,31.43000031,2,360,NA,179,3,1,0,N,0,0,999999.375,22.25600052,4.300000191,0,1,0,1,1,12,316.9360046,0,1
391,1,1,1,90,1,1120,0,5,5,1,2,33,0,NA,NA,NA,NA,1,M,1,7,3,0,2686,0,2686,0,838.5100098,100,0,14.35999966,1,1,3,2,1,0,31.39999962,34.22999954,2,360,NA,104.5,2,1,0,Y,0,0,999999.375,21.5170002,10.60000038,0,0,1,0,1,11,215.1557312,0,0
392,1,1,1,84,3,1120,0,3,8,1,4,36,0,NA,1,3,NA,1,U,0,5,5,0,2964,0,2964,0,788.5,88,0,20,2,0,2,2,5,0,25.77000046,30.27000046,2,360,NA,88,2,1,0,N,0,0,999999.375,2.450000048,3.900000095,0,1,0,1,1,14,314.1422119,0,0
393,1,1,1,88,1,1120,0,4,4,1,2,26,0,NA,NA,NA,NA,1,M,2,4,1,0,110,1405,110,2098,810,92.69999695,0,7,2,1,4,2,1,0,31.19000053,31.98999977,2,360,MHFA,95,2,1,0,N,0,0,999999.375,30.82799911,3.200000048,0,1,1,1,1,12,261.7910156,0,0
394,1,1,1,61,3,1120,1,4,5,1,2,23,0,NA,7,NA,NA,1,M,1,10,0.1800000072,0,1880,0,1880,0,585.5599976,64.5,0,2.700000048,3,0,5,2,5,0,35.79999924,35.79999924,2,360,NA,152,1,1,0,N,0,0,999999.375,-0.6399999857,10.60000038,0,0,1,0,1,14,999999.375,0,0
397,1,1,1,126,1,1120,0,5,5,1,2,58,9,NA,NA,NA,NA,1,M,0,10,1,0,3107,1678,3107,1678,1269,158,0,36,1,1,12,2,1,0,26.52000046,31.90999985,2,360,NA,159,1,0,0,Y,0,0,5,51,3.099999905,0,0,1,0,0,16,215.8175812,0,0
398,1,1,1,300,1,1120,0,5,5,1,2,180,9,NA,NA,NA,NA,1,M,7,20,20,0,15000,0,15000,0,3166,430,0,273,2,1,12,2,1,0,21.10000038,24.62999916,2,360,NA,436,1,0,0,N,0,0,5,389,4.300000191,0,0,1,1,0,16,221.4040222,0,0
399,1,1,1,162,1,1120,0,5,5,1,2,41,0,NA,NA,NA,NA,1,M,1,8,2,1,1750,2079,3450,2079,1398,202,0,35,1,1,12,2,2,0,25.27000046,28.60000038,1,360,NA,215,2,0,0,Y,0,0,5,409,10.60000038,0,0,1,0,0,16,195.0260773,0,0
400,1,1,1,150,1,1120,0,5,8,1,4,71,0,NA,NA,NA,NA,1,U,0,12,12,0,4000,0,5900,0,1589,150,0,19,1,1,2,2,6,0,27,27,1,360,NA,188,2,0,0,N,0,0,5,144,3.200000048,0,0,1,1,0,18,225.532486,0,0
401,1,1,1,153,1,1120,0,5,8,2,4,72,0,NA,NA,NA,NA,1,U,0,9,9,1,6044,0,6044,0,1585,170,0,10,1,1,10,2,2,0,25.12000084,28.20000076,1,360,NA,170,2,1,0,N,0,0,5,31,4.300000191,0,0,1,1,0,18,207.5142212,0,0
402,1,1,1,189,1,1120,0,3,8,2,4,60,0,NA,NA,NA,NA,2,U,2,21,21,0,2333,0,4968,0,1795,289,0,109,1,1,3,2,1,0,36,36,1,360,NA,290,3,0,0,N,0,0,5,134,3.200000048,0,0,1,1,0,14,255.8013916,0,1
403,1,1,1,292,1,1120,0,5,8,2,4,112,0,NA,NA,NA,NA,1,U,3,11,11,1,7691,0,9357,0,2789,517,0,237,1,1,24,1,1,0,29.18000031,32.43999863,1,360,NA,517,1,0,0,Y,0,0,5,1516,1.799999952,0,0,1,1,0,17,275.8139648,0,0
404,1,1,1,138,1,1120,0,5,8,2,4,86,0,NA,NA,NA,NA,1,M,0,1,1,1,6000,0,7142,0,1449,184,0,82,1,1,18,2,2,0,18.88999939,34.79999924,1,360,NA,187,2,0,0,Y,0,0,5,151,3.900000095,0,0,1,0,0,12,216.3860168,0,0
405,1,1,1,150,1,1120,0,5,8,2,4,62,0,NA,NA,NA,NA,1,U,0,1,1,0,4500,0,5200,0,1537,301,0,32,1,1,0,2,4,0,29.60000038,29.60000038,1,360,NA,313,1,0,0,N,0,0,5,867,1.799999952,0,0,1,0,0,13,227.4797211,0,0
406,1,1,1,180,1,1120,0,5,5,1,2,71,0,NA,NA,NA,NA,2,M,0,20,5,0,3297,1640,4297,1640,1675,193,0,25,1,1,17,2,2,0,18.90999985,29.62999916,1,360,NA,200,3,1,0,N,0,0,5,42,3.099999905,0,1,0,1,1,12,250.6735992,0,1
407,1,1,1,136,1,1120,0,4,4,1,2,59,0,NA,NA,NA,NA,1,U,0,2,0.3300000131,0,1820,1258,2366,2531,1433,170,0,35,3,1,1,2,4,0,31.39999962,31.39999962,1,360,NA,175,2,0,0,N,0,0,5,44,3.099999905,0,1,1,1,0,14,220.1493835,0,0
408,1,1,1,165,1,1120,0,5,5,1,2,43,0,NA,NA,NA,NA,1,M,1,29,1.200000048,0,2600,667,3860,667,1806,315,0,42,1,1,26,1,5,0,26.27000046,31.97999954,1,360,NA,310,2,0,0,N,0,0,5,579,3.200000048,0,1,1,1,0,9,237.4862061,0,0
409,1,1,1,104,1,1120,0,5,8,1,4,72,0,NA,NA,NA,NA,1,U,1,28,28,1,2959,0,4304,0,1200,263,0,233,1,1,15,2,1,0,27.87999916,40.00999832,1,360,NA,255,2,0,0,N,0,0,5,675,3.200000048,0,0,1,1,0,20,278.0483398,0,0
410,1,1,1,125,1,1120,0,5,5,1,2,62,0,NA,NA,NA,NA,1,M,0,1.5,1.5,0,2667,1300,3700,1300,1272,125,0,12,1,1,11,2,2,0,25.44000053,27.62999916,1,360,NA,167,2,0,0,N,0,0,5,24,2,0,1,1,0,0,14,207.8271942,0,0
412,1,1,1,98,1,1120,1,5,8,2,4,42,0,NA,NA,NA,NA,2,U,0,7,1,0,3467,0,3879,0,1022,123,0,41,1,1,14,2,2,0,28.98999977,35.24000168,2,360,NA,131,2,0,0,N,0,0,5,65,3.900000095,0,0,1,0,1,16,249.8422699,0,0
413,1,1,1,208,1,1120,0,5,5,1,1,120,0,NA,NA,NA,NA,3,M,2,16,11,0,3500,4500,4865,5624,3057,260,0,97,2,1,44,1,2,0,29.14999962,31.67000008,1,360,NA,261,3,0,0,N,0,0,5,275,3.099999905,0,0,1,1,0,16,241.1803894,0,1
414,1,1,1,350,1,1120,0,5,2,1,2,60,0,NA,NA,NA,NA,1,M,2,9,1,0,2500,2500,2500,2500,3109,500,75,107,1,1,5,2,1,0,12.18000031,12.38000011,1,360,NA,505,2,0,0,N,0,0,5,152,1.799999952,0,1,1,0,0,17,258.6242371,0,0
415,1,1,1,229,1,1120,0,5,5,2,2,198,0,NA,NA,NA,NA,1,U,0,2,2,0,3329,21000,3329,21000,2365,305,0,35,1,1,8,2,1,0,27,34,1,360,NA,120,1,0,0,N,0,0,5,2010,3.099999905,0,0,1,0,0,18,243.6559753,0,0
417,1,1,2,150,1,1120,0,5,8,1,4,108,0,NA,NA,NA,NA,2,M,0,15,15,1,8149,0,8999,0,1742,115,0,123,1,1,8,1,2,0,12,14,1,360,NA,245,3,0,0,N,0,0,5,911,10.60000038,0,0,1,1,0,16,241.1803894,1,1
419,1,1,1,160,1,1120,0,5,5,1,2,119,0,NA,NA,NA,NA,1,M,2,3,3,1,7400,2550,7400,2550,1693,300,0,198,1,1,8,2,1,0,18.18000031,21.15999985,2,360,NA,310,2,0,0,N,0,0,5,367,10.60000038,0,0,1,1,0,16,233.6112823,0,0
421,1,1,2,120,1,1120,0,5,5,1,2,77,0,NA,NA,NA,NA,2,M,0,19,19,0,2900,6300,76800,6300,1149,150,0,137,1,1,22,1,2,0,13.68999958,16.06999969,1,360,NA,150,3,0,0,N,0,0,5,3017,2,0,1,1,1,1,14,233.1879883,1,1
422,1,1,1,160,1,1120,0,5,5,1,2,71,9,NA,NA,NA,NA,1,M,1,15,5,1,4000,688,5250,688,1640,256,0,122,1,1,7,4,1,0,27,27.79999924,1,360,NA,300,3,0,0,N,0,0,5,151,10.60000038,0,0,1,0,0,16,235.6641693,0,1
423,1,1,1,188,1,1120,0,5,5,1,2,125,9,NA,NA,NA,NA,1,M,2,9,3,0,8333,0,10416,0,2279,398,0,98,1,1,27,1,1,0,27.52000046,28.26000023,2,180,NA,399,2,0,0,N,0,0,5,556,1.799999952,0,0,1,1,1,18,232.1639557,0,0
424,1,1,1,300,1,1120,0,5,5,1,2,132,9,NA,NA,NA,NA,1,M,1,14,1,0,6250,4666,6250,4666,3106,425,0,257,1,1,12,1,1,0,28.45999908,28.89999962,2,360,NA,405,2,0,0,N,0,0,5,520,3.200000048,0,0,1,1,0,17,270.5260315,0,0
425,1,1,1,240,1,1120,0,5,5,1,2,76,0,NA,NA,NA,NA,2,M,0,30,30,1,2138,2674,2138,4174,2176,300,0,7,1,1,21,1,2,0,24.14999962,28.46999931,1,360,NA,300,3,0,0,N,0,0,5,1126,3.900000095,0,1,1,1,1,16,233.1879883,0,1
426,1,1,1,145,1,1120,0,5,5,1,2,48,0,NA,NA,NA,NA,1,M,0,20,20,0,3328,2167,3328,2167,1372,185,0,72,1,1,17,1,5,0,25,30,1,360,NA,188,2,0,0,N,0,0,2,278,10.60000038,0,0,1,1,0,13,243.6559753,0,0
427,1,1,1,170,1,1120,0,5,5,1,2,71,0,NA,NA,NA,NA,1,M,1,9,1,0,3500,2375,3500,2375,1661,231,0,101,1,1,20,2,3,0,28,36,1,360,NA,231,2,0,0,N,0,0,1,120,3.099999905,0,1,1,1,0,15,200.1977386,0,0
428,1,1,1,110,1,1120,0,5,5,1,2,52,0,NA,NA,NA,NA,1,M,2,12,10,0,4358,0,4358,0,1164,195,0,15,1,1,13,1,1,0,27,32,2,360,NA,195,2,0,0,N,0,0,1,187,3.900000095,0,0,1,0,1,16,230.5402985,0,0
429,1,1,1,275,3,1120,0,5,5,1,2,96,0,9,NA,NA,NA,1,M,0,19,19,0,6933,0,7933,0,2562,371,0,91,1,1,9,1,1,0,32,32,1,360,NA,400,2,0,0,N,0,0,1,333,3.200000048,0,0,1,1,1,16,212.2271576,0,0
430,1,1,1,206,1,1120,0,5,5,1,2,120,0,NA,NA,NA,NA,1,M,2,12,1,0,10000,0,10000,0,2022,258,0,27,1,1,30,1,5,0,20,26,1,360,NA,280,2,0,0,Y,0,0,2,95,3.200000048,0,1,1,1,0,16,209.7943878,0,0
431,1,1,1,300,1,1120,0,5,5,2,1,198,0,NA,NA,NA,NA,1,M,1,11,10,0,15758,710,15758,710,3466,424,0,96,1,1,18,1,2,0,21,26,1,180,NA,424,2,0,0,N,0,0,1,409,3.599999905,0,0,1,1,0,17,198.0045319,0,0
432,1,1,1,286,3,1120,0,5,8,2,4,138,0,3,3,NA,NA,1,S,1,12,12,1,10500,0,11500,0,2954,357,0,164,3,0,26,1,2,0,26,32,2,360,NA,360,1,0,0,N,0,1,5,368,1.799999952,0,0,1,1,0,18,233.6112823,0,0
433,1,1,1,280,1,1120,0,3,8,2,4,100,0,NA,NA,NA,NA,1,U,0,20,0.400000006,0,8333,0,8333,0,2739,350,0,94,2,1,31,3,3,1,33,42,1,360,NA,350,2,0,0,N,0,0,3,693,3.200000048,0,0,1,1,0,25,282.4920044,0,0
434,1,1,1,83,1,1120,0,5,8,1,4,38,0,NA,NA,NA,NA,1,U,0,6,3,0,3165,0,3165,0,1045,129,0,38,1,1,4,2,5,0,33,34,1,360,STAR ADVAN,129,1,0,0,N,0,0,2,70,1.799999952,0,1,1,0,0,18,237.0037689,0,0
435,1,1,1,129,1,1120,0,5,5,1,2,44,0,NA,NA,NA,NA,1,M,1,20,4,0,2916,837,2916,837,1245,147,0,32,2,1,1,2,1,0,34,37,1,360,STAR ADVAN,147,2,1,0,N,0,0,3,46,3.099999905,0,0,1,1,1,12,219.1657715,0,0
436,1,1,1,80,1,1120,0,5,8,1,4,35,0,NA,NA,NA,NA,1,U,0,11,11,0,2649,0,2943,0,833,133,0,98,2,1,3,2,1,0,28,29,1,360,STAR ADVAN,135,2,0,0,N,0,0,2,122.4000015,2,0,1,0,1,1,12,253.1721649,0,0
437,1,1,1,90,1,1120,0,5,8,2,4,35,0,NA,NA,NA,NA,1,U,0,6,2,0,2947,0,2947,0,928,125,0,36,2,1,24,2,1,0,31,35,1,360,STAR ADVAN,125,2,0,0,Y,0,0,2,45,1.799999952,0,1,0,0,1,16,265.2490845,0,0
438,1,1,1,155,1,1120,0,5,5,2,1,65,1,NA,NA,NA,NA,2,U,0,9,1,0,1650,2363,2541,2862,1658,172,0,28,4,1,14,2,1,0,31,31,2,360,NA,180,3,1,0,N,0,0,2,97,3.200000048,0,1,1,0,1,16,238.4942932,0,1
439,1,1,1,68,1,1120,0,5,8,1,4,35,0,NA,NA,NA,NA,1,U,0,6,1.5,0,2875,0,2875,0,763,85,0,13,2,1,12,2,1,0,27,40,2,360,STAR ADVAN,85,1,0,0,Y,0,0,2,24,4.300000191,0,1,1,0,1,17,226.5673218,0,0
441,1,1,1,88,1,1120,0,5,8,2,4,38,0,NA,NA,NA,NA,1,U,0,7,7,0,3167,0,3167,0,941,95,0,17,2,1,8,2,1,0,30,36,1,360,STAR ADVAN,95,1,1,0,Y,0,0,2,30,3.200000048,0,1,0,0,0,16,210.8711548,0,0
442,1,1,1,155,1,1120,0,5,5,1,2,68,0,NA,NA,NA,NA,1,M,0,30,4.5,0,2730,2792,2894,2792,1509,220,0,46,2,1,35,1,1,0,27,38,1,360,NA,220,2,0,0,N,0,0,2,35,3.900000095,0,1,1,1,0,12,207.8271942,0,0
443,1,1,1,182,1,1120,0,5,5,1,2,85,0,NA,NA,NA,NA,1,M,1,16,16,0,4153,2897,4153,2897,1843,315,0,26,2,1,31,1,1,0,26,37,1,360,NA,315,2,0,0,N,0,0,2,293,2,0,1,1,1,0,17,207.8271942,0,0
444,1,1,1,187,1,1120,0,5,5,1,2,122,1,NA,NA,NA,NA,1,U,0,15,3,0,5417,3000,6792,3338,2331,260,47,100,4,1,24,1,1,0,23,41,1,360,NA,265,2,0,0,N,0,0,2,172,1.799999952,0,0,1,1,0,16,227.4797211,0,0
445,1,1,1,60,1,1120,0,5,8,2,4,32,1,NA,NA,NA,NA,1,S,0,7,2,0,2688,0,2688,0,830,216,0,373,2,1,10,2,1,0,31,32,1,360,NA,216,1,0,0,N,0,0,2,-7,3.200000048,0,0,1,1,0,20,213.990799,0,0
446,1,1,1,176,1,1120,0,5,5,1,2,86,0,NA,NA,NA,NA,1,M,0,8,2.5,0,2800,4354,2800,4354,1859,186,0,24,2,1,33,2,1,0,26,33,1,360,NA,186,2,1,0,Y,0,0,2,50,4.300000191,0,0,1,0,0,16,216.3860168,0,0
447,1,1,1,139,1,1120,0,5,5,1,2,67,1,NA,NA,NA,NA,1,M,0,15,15,0,2946,2652,2946,2652,1462,153,0,25,2,1,14,2,1,0,26,33,1,360,NA,170,2,1,0,N,0,0,2,49,10.60000038,0,0,1,0,0,12,218.095932,0,0
448,1,1,1,171,1,1120,0,3,3,1,2,65,1,NA,NA,NA,NA,2,M,6,1.799999952,1.799999952,0,1317,1489,2792,2619,1588,190,0,15,3,1,1,1,1,0,29,38,1,360,NA,195,3,1,0,N,1,0,3,-3,3.099999905,0,1,0,0,1,12,217.6612244,0,1
450,1,1,1,50,1,1120,0,5,8,2,4,33,0,NA,NA,NA,NA,1,U,0,2,2,0,2760,0,2760,0,582,160,0,6,2,1,6,2,1,0,21,29,1,360,STAR ADVAN,160,2,0,0,Y,0,0,2,14,3.200000048,0,0,1,0,0,16,207.8850708,0,0
451,1,1,1,176,1,1120,0,5,8,1,4,84,1,NA,NA,NA,NA,2,U,0,8,8,0,5200,0,6858,0,1804,220,0,50,2,1,11,2,1,0,26,30,2,360,NA,220,3,0,0,N,0,0,2,68,1.799999952,0,0,1,0,0,16,227.5285339,0,1
452,1,1,1,75,1,1120,0,5,8,1,4,90,1,NA,NA,NA,NA,1,S,1,19,10,1,7500,0,7500,0,853,220,0,119,3,1,15,1,6,0,11,37,1,360,NA,220,2,0,0,Y,0,0,2,245,3.200000048,0,0,1,1,1,18,583.8040771,0,0
453,1,1,1,151,1,1120,0,5,5,1,2,91,1,NA,NA,NA,NA,1,U,0,3,3,0,2275,3447,4095,3447,1518,168,0,26,4,1,23,2,6,1,20,36,1,360,NA,168,2,1,0,Y,0,0,3,51,5.300000191,0,0,1,0,1,16,219.1657715,0,0
454,1,1,1,130,1,1120,0,5,5,2,1,54,1,NA,NA,NA,NA,1,M,2,999999.375,999999.375,0,2817,0,4497,0,1355,163,0,38,2,1,9,2,1,0,30,37,1,360,NA,170,2,0,0,Y,0,0,2,58,3.599999905,0,0,1,0,0,14,226.4531708,0,0
455,1,1,1,135,1,1120,0,5,8,2,4,56,1,NA,NA,NA,NA,1,S,1,11,6,0,4333,0,4666,0,1397,255,0,148,2,1,5,1,1,0,30,30,2,360,NA,255,2,0,0,N,0,0,3,184,5.300000191,0,0,1,1,1,23,219.1657715,0,0
456,1,1,1,138,1,1120,0,5,5,2,1,46,1,NA,NA,NA,NA,1,M,1,999999.375,999999.375,0,0,3798,0,3798,1278,157,0,41,2,1,8,2,1,0,34,34,1,360,NA,170,2,1,0,N,0,0,2,84,3.599999905,0,1,1,0,1,16,270.0151062,0,0
457,1,1,1,168,1,1120,0,5,5,2,1,72,1,NA,NA,NA,NA,1,M,0,3.5,3.5,1,674,5296,674,5296,1573,224,0,79,2,1,27,2,2,0,26,42,1,360,NA,224,2,0,0,Y,0,0,3,89,3.200000048,0,0,1,1,0,16,246.2571869,0,0
459,1,1,2,192,1,1120,1,5,8,2,4,85,0,NA,NA,NA,NA,3,U,0,7,7,0,7083,0,7083,0,1894,240,0,53,2,1,20,2,5,0,0,8,1,360,NA,240,3,0,0,N,0,0,2,103,3.200000048,1,1,0,0,1,19,625.7142944,1,1
460,1,1,1,35,1,1120,0,5,5,1,2,169,1,NA,NA,NA,NA,1,M,0,30,26,0,9583,4166,9583,4466,1173,315,0,64,2,1,25,1,1,0,8,20,2,120,NA,315,1,0,0,N,0,0,3,1745,3.200000048,0,0,1,1,0,19,233.6112823,0,0
461,1,1,1,160,1,1120,0,5,5,1,2,75,1,NA,NA,NA,NA,1,M,2,11,11,0,5580,631,5580,631,1795,302,0,63,2,1,25,1,2,0,29,30,2,360,NA,300,2,0,0,Y,0,0,3,243,3.099999905,0,0,1,0,0,18,264.3457947,0,0
462,1,1,1,158,1,1120,1,5,5,1,2,69,1,NA,NA,NA,NA,3,M,1,6,6,0,2600,1229,4554,1229,1798,210,21,42,4,1,4,2,6,1,31,31,2,360,NA,210,3,0,0,Y,1,0,4,72,4.300000191,0,1,0,0,1,12,557.6239014,0,1
463,1,1,1,299,1,1120,0,5,5,1,2,131,0,NA,NA,NA,NA,1,M,1,15,3,0,7919,2987,7919,2987,2970,320,0,100,2,1,26,1,2,0,27,38,1,360,NA,320,2,1,0,N,0,0,2,139,3.200000048,0,1,0,1,1,19,242.030304,0,0
464,1,1,1,152,1,1120,0,5,1,1,2,59,1,NA,NA,NA,NA,1,U,0,2,1.5,0,3268,1683,3268,1683,1518,165,0,25,2,1,7,2,6,0,31,34,2,360,NA,165,2,1,0,N,0,0,3,17,5.300000191,0,0,1,0,0,16,207.8850708,0,0
465,1,1,1,145,1,1120,0,4,4,1,2,75,1,NA,NA,NA,NA,1,M,2,4,4,0,2422,1993,3665,2549,1508,161,0,14,2,1,25,2,2,0,24,32,2,360,NA,161,2,1,0,N,0,0,3,44,3.200000048,0,0,1,0,1,11,219.1657715,0,0
466,1,1,1,187,1,1120,0,5,5,1,2,99,0,NA,NA,NA,NA,1,M,3,20,8,1,8000,250,8000,250,2132,260,21,16,3,1,19,1,1,0,26,29,2,360,NA,280,2,0,0,N,0,0,2,630,4.300000191,0,0,1,1,0,12,243.7213593,0,0
467,1,1,1,176,1,1120,0,5,5,1,2,76,1,NA,NA,NA,NA,1,M,0,1.5,1.5,0,3667,2625,3667,2625,1801,191,0,26,2,1,21,2,1,0,29,32,1,360,NA,192,2,1,0,Y,0,0,2,51,3.099999905,0,0,1,0,0,18,215.8175812,0,0
468,1,1,1,120,1,1120,0,4,4,1,2,56,0,NA,NA,NA,NA,1,M,0,13,13,0,1815,1862,1815,2834,1122,130,0,19,2,1,25,2,1,0,24,38,1,360,STAR ADVAN,130,2,1,0,N,0,0,3,35,3.200000048,0,0,1,0,0,12,213.5014648,0,0
469,1,1,1,151,1,1120,0,5,5,2,1,66,1,NA,NA,NA,NA,1,M,0,8,6,0,3116,2383,3116,2383,1654,160,0,30,2,1,22,2,2,0,30,36,2,360,NA,160,2,1,0,N,0,0,2,53.5,3.200000048,0,1,1,0,0,17,208.3880463,0,0
470,1,1,1,150,1,1120,0,5,5,1,2,63,1,NA,NA,NA,NA,1,M,2,9,9,0,4247,987,4247,987,1554,228,0,77,2,1,17,1,1,0,30,41,2,360,NA,230,2,0,0,N,0,0,3,2,3.200000048,0,0,1,0,0,16,228.1230774,0,0
471,1,1,1,65,1,1120,0,5,8,1,4,38,0,NA,NA,NA,NA,1,U,0,4,4,0,3125,0,3125,0,860,81,0,10,2,1,9,2,1,0,28,32,1,360,NA,137,1,0,0,Y,0,0,3,16.39999962,1.799999952,0,0,1,0,0,16,228.1230774,0,0
472,1,1,1,103,1,1120,1,3,3,1,2,38,0,NA,NA,NA,NA,1,M,1,10,4.5,0,2084,1118,2084,1118,983,113,0,7,2,1,7,2,1,0,31,38,1,360,STAR ADVAN,125,2,1,0,Y,0,0,3,16,10.60000038,1,0,1,0,1,12,375.8642273,0,0
473,1,1,1,65,1,1120,0,5,5,2,1,255,0,NA,NA,NA,NA,1,S,0,999999.375,999999.375,0,750,20541,750,20541,798,81,0,441,2,1,29,1,3,0,4,20,1,360,NA,134,1,0,0,N,0,0,2,791,3.599999905,0,0,1,1,0,12,228.1230774,0,0
474,1,1,1,184,3,1120,0,5,5,1,1,86,0,1,1,3,NA,1,M,3,7,7,0,2167,4500,2708,4500,1817,206,0,38,2,0,23,1,2,1,25,41,2,360,VA,208,3,0,0,N,0,0,5,429,3.099999905,0,0,1,1,0,12,237.839386,0,1
476,1,1,2,186,1,1120,0,5,5,1,2,60,0,NA,NA,NA,NA,4,M,2,15,10,0,4347,0,4993,0,1856,232,0,90,2,1,17,1,1,0,0,30,1,360,NA,232,3,0,0,N,0,0,2,983,3.099999905,0,0,1,0,1,17,193.8895416,1,1
477,1,1,1,136,1,1120,0,5,5,1,2,67,1,NA,NA,NA,NA,2,M,0,6,5,0,2355,2796,2355,3209,1375,175,0,81,2,1,25,2,1,0,25,31,2,360,NA,180,3,0,0,Y,0,0,3,5,3.200000048,0,1,1,0,0,13,229.2407379,0,1
480,1,1,1,120,1,1120,0,5,5,1,2,69,9,NA,NA,NA,NA,1,U,0,12,2,0,2947,2598,3189,2598,1229,130,0,19,1,1,10,2,4,0,22,28,2,360,NA,130,2,1,0,Y,0,0,2,43,3.099999905,0,1,1,0,0,12,206.7354889,0,0
481,1,1,1,125,1,1120,0,5,5,1,2,68,9,NA,NA,NA,NA,1,M,0,11,11,0,4860,830,4860,830,1399,225,0,63,1,1,7,2,4,0,25,25,1,360,NA,225,2,0,0,N,0,0,2,257,3.099999905,0,1,1,1,0,16,208.3880463,0,0
483,1,1,1,187,1,1120,0,5,5,1,2,91,9,NA,NA,NA,NA,1,M,2,18,10,0,7583,0,7583,0,2028,325,0,130,1,1,9,2,1,0,28,29,2,360,NA,325,2,0,0,Y,0,0,2,539,3.200000048,0,0,1,1,1,14,212.2271576,0,0
484,1,1,1,141,3,1120,0,5,8,2,4,47,,NA,1,1,NA,1,U,0,9,3,0,4030,0,4030,0,1485,148,0,5,1,0,20,1,2,0,37,49,2,360,FRST TM BY,154,2,0,0,Y,0,0,3,39,3.200000048,0,0,1,0,0,17,233.3703156,0,0
485,1,1,1,169,1,1120,0,5,5,1,2,83,0,NA,NA,NA,NA,1,M,0,9,9,0,3021,2486,3895,3054,1670,188,0,45,1,1,16,2,1,0,24,33,2,360,NA,190,2,1,0,N,0,0,2,68,3.099999905,0,1,1,0,1,15,222.7635498,0,0
